price,quant,qual,trend
57.5,1000,62.5,1
77.16,453.6,62.5,1
77.601,28.35,19,1
84.656,14.18,19,1
77.601,7.09,19,1
91.711,3.54,19,1
110,1,19,1
37.5,1000,60,2
55.115,453.6,45,2
66.138,226.8,45,2
71.429,113.4,45,2
84.656,28.35,47.5,2
84.656,14.18,45,2
86.42,7.09,45,2
91.711,3.54,45,2
125,1,65,2
105,0.5,45,2
110,0.25,45,2
52.5,1000,60,3
55.115,453.6,45,3
66.138,226.8,45,3
71.429,113.4,45,3
54.674,28.35,65,3
70.547,3.54,35,3
105,1,55,3
110,0.5,50,3
100,0.25,40,3
100,0.25,35,5
90,0.5,35,5
102.5,1,26.5,5
67.019,3.54,50,5
47.619,28.35,65,5
38.58,453.6,80,5
17.5,1000,90,5
27.5,1000,77.5,4
60.626,453.6,75,4
63.933,453.6,77.5,4
66.138,226.8,45,4
71.429,113.4,45,4
59.965,28.35,70,4
42.328,14.18,45,4
67.019,7.09,45,4
76.19,3.54,60,4
125,1,65,4
130,0.5,45,4
110,0.25,45,4
80,0.25,26,8
110,0.25,65,8
60,1,27.5,8
85,1,57.5,8
125,1,80,8
86.067,3.54,65,8
45.855,28.35,65,8
40.785,453.6,77.5,8
15,1000,85,8
32.5,1000,95,8
